attack,strength,tara_r2,fhat,bulyan_r2,median_r2
little_is_enough,0.25,0.5937,2.0,0.5721,0.5116
little_is_enough,0.5,0.5937,2.0,0.5721,0.4935
little_is_enough,1.0,0.5937,2.0,0.5721,0.4893
little_is_enough,1.5,0.5937,2.0,0.5721,0.4893
little_is_enough,2.0,0.5937,2.0,0.5721,0.496
little_is_enough,3.0,0.5937,2.0,0.5721,0.496
little_is_enough,5.0,0.5937,2.0,0.5721,0.496
scale,1.2,0.5906,2.13,0.5721,0.6167
scale,1.5,0.5937,2.0,0.5721,0.6164
scale,2.0,0.5937,2.0,0.5721,0.6173
scale,3.0,0.5937,2.0,0.5721,0.6156
scale,5.0,0.5937,2.0,0.5721,0.607
scale,10.0,0.5937,2.0,0.5721,0.6115
scale,20.0,0.5937,2.0,0.5721,0.6119
