duty,attack,variant,r2
1.0,sign_flip,TARA-full,0.5937
1.0,sign_flip,TARA-norep,0.5937
1.0,sign_flip,Median,0.5717
1.0,sign_flip,Multi-Krum,0.5721
1.0,little_is_enough,TARA-full,0.5937
1.0,little_is_enough,TARA-norep,0.5937
1.0,little_is_enough,Median,0.4893
1.0,little_is_enough,Multi-Krum,0.5721
0.5,sign_flip,TARA-full,0.5904
0.5,sign_flip,TARA-norep,0.5904
0.5,sign_flip,Median,0.5767
0.5,sign_flip,Multi-Krum,0.5751
0.5,little_is_enough,TARA-full,0.5904
0.5,little_is_enough,TARA-norep,0.5904
0.5,little_is_enough,Median,0.5663
0.5,little_is_enough,Multi-Krum,0.5751
0.3,sign_flip,TARA-full,0.5857
0.3,sign_flip,TARA-norep,0.5857
0.3,sign_flip,Median,0.5869
0.3,sign_flip,Multi-Krum,0.5858
0.3,little_is_enough,TARA-full,0.5857
0.3,little_is_enough,TARA-norep,0.5857
0.3,little_is_enough,Median,0.5833
0.3,little_is_enough,Multi-Krum,0.5858
